ward_jis,ward_name_jp,ward_name_en,total_households,one_person_households,single_household_rate,multi_household_rate
13101,千代田区,Chiyoda,36963.0,21076.0,0.5701918134350566,0.42980818656494335
13102,中央区,Chuo,92487.0,48646.0,0.525976623741715,0.47402337625828495
13103,港区,Minato,146084.0,83099.0,0.5688439527942828,0.4311560472057172
13104,新宿区,Shinjuku,222461.0,150831.0,0.6780109772049933,0.32198902279500674
13105,文京区,Bunkyo,133564.0,77316.0,0.5788685573957054,0.4211314426042946
13106,台東区,Taito,121557.0,71778.0,0.5904884128433574,0.4095115871566426
13107,墨田区,Sumida,145609.0,75960.0,0.5216710505531938,0.47832894944680615
13108,江東区,Koto,264111.0,123488.0,0.46756098761505577,0.5324390123849443
13109,品川区,Shinagawa,237447.0,136020.0,0.5728436240508408,0.42715637594915923
13110,目黒区,Meguro,155610.0,82777.0,0.5319516740569372,0.4680483259430628
13111,大田区,Ota,399628.0,214237.0,0.5360910646901619,0.4639089353098381
13112,世田谷区,Setagaya,491717.0,250635.0,0.5097139208121745,0.4902860791878255
13113,渋谷区,Shibuya,149856.0,96707.0,0.6453328528720905,0.3546671471279095
13114,中野区,Nakano,207944.0,129649.0,0.6234803600969492,0.3765196399030508
13115,杉並区,Suginami,336103.0,196919.0,0.5858888495490966,0.4141111504509034
13116,豊島区,Toshima,183687.0,117608.0,0.6402630561770838,0.3597369438229162
13117,北区,Kita,189579.0,99015.0,0.5222888611080341,0.4777111388919659
13118,荒川区,Arakawa,111799.0,55368.0,0.4952459324323116,0.5047540675676885
13119,板橋区,Itabashi,314133.0,170849.0,0.5438747282202124,0.45612527177978757
13120,練馬区,Nerima,374485.0,178473.0,0.47658250664245566,0.5234174933575444
13121,足立区,Adachi,345010.0,163352.0,0.4734703341932118,0.5265296658067882
13122,葛飾区,Katsushika,215709.0,93974.0,0.4356517345127,0.5643482654873
13123,江戸川区,Edogawa,332895.0,148816.0,0.4470358521455714,0.5529641478544286
