ward_jis,ward_name,pct_age65p,pct_single65p,poverty_rate,city,pct_age65p_z,pct_single65p_z,poverty_rate_z,iso_index,station_count,area_km2,station_density,transit_z,demo_component,socio_component,transit_component,demo_component_z,socio_component_z,transit_component_z,iso_final
13101,千代田区,5.30652,5.1339,3.4077,tokyo,-1.9790898134303176,-1.05095091298365,-0.5102640733806786,-1.260000421281426,68.0,17.4833348533171,3.889418155661442,4.333210858149165,-1.5150203632069839,-0.5102640733806786,-4.333210858149165,-1.719900754299773,-0.5102640733806786,-2.862216206597978,-1.4090764304923882
13102,中央区,7.3328,4.8124,7.8831,tokyo,0.9281667769043712,-1.4357999461167947,0.7342477093845778,0.1608010397420833,42.0,15.486529776629354,2.712034303732912,2.8148097824544736,-0.25381658460621176,0.7342477093845778,-2.8148097824544736,-0.2881409028681,0.7342477093845781,-1.6233668165906137,-0.07164841248865994
13103,港区,7.01052,5.3923,6.2777,tokyo,0.465767378038931,-0.7416352359646619,0.2878207495482856,0.0501626052906595,46.0,27.636009960669725,1.6644949855447673,1.4638613853246676,-0.13793392896286544,0.2878207495482856,-1.4638613853246676,-0.15658711541315046,0.2878207495482858,-0.5211405178177555,-0.0355033413531875
13104,新宿区,7.29263,6.2212,4.1031,tokyo,0.8705318512111085,0.2505929555254286,-0.316888398863326,0.3283241074830743,51.0,27.694227128734383,1.8415390241052985,1.6921844238607535,0.5605624033682686,-0.316888398863326,-1.6921844238607535,0.6363688065184497,-0.3168883988633259,-0.7074271726040386,0.11092285710997282
13105,文京区,5.64607,5.0428,1.1411,tokyo,-1.491911844320351,-1.1600014477221556,-1.1405564286596996,-1.286932100642697,19.0,17.15805502645746,1.1073516182750485,0.745347124412368,-1.3259566460212533,-1.1405564286596996,-0.745347124412368,-1.50526942808437,-1.1405564286596996,0.06508862024811814,-1.1722072972585575
13106,台東区,7.4656,7.6597,1.1103,tokyo,1.1187049430000973,1.972538007351337,-1.1491212413935716,0.6945070069873684,31.0,15.363628443400025,2.0177525194783734,1.919436360846416,1.5456214751757171,-1.1491212413935716,-1.919436360846416,1.7546401392186823,-1.1491212413935716,-0.8928399255447432,0.3347946133936589
13107,墨田区,6.80022,6.4884,7.3333,tokyo,0.164034122542463,0.570442602969213,0.581360240518256,0.4111545020632259,21.0,20.934679191017324,1.0031202202043157,0.6109261650179209,0.367238362755838,0.581360240518256,-0.6109261650179209,0.4169010215642136,0.5813602405182562,0.1747614374079892,0.4483057806524515
13108,江東区,7.28346,6.0916,14.3249,tokyo,0.857374961278143,0.0954563001784438,2.5255727311071565,1.1292586938969371,4.0,-53.411154787408094,-0.0748907230319427,-0.7793196525541937,0.4764156307282934,2.5255727311071565,0.7793196525541937,0.5408426332404657,2.525572731107157,1.3090501379553874,1.3811423580298399
13109,品川区,6.76887,5.5466,3.887,tokyo,0.1190539154106775,-0.5569316409026266,-0.3769811271681864,-0.2325522642569729,40.0,19.051416673985827,2.099581395152565,2.0249661357308453,-0.21893886274597454,-0.3769811271681864,-2.0249661357308453,-0.24854657028190216,-0.3769811271681864,-0.9789406925528119,-0.3880087943981224
13110,目黒区,5.58721,5.3538,1.4882,tokyo,-1.5763627212510318,-0.7877213565731411,-1.0440354384023325,-1.1800721269930547,10.0,22.26065322157927,0.4492231158026438,-0.1034015860974619,-1.1820420389120865,-1.0440354384023325,0.1034015860974619,-1.341892850889153,-1.0440354384023325,0.7575748408625069,-0.967762859737638
13111,大田区,6.48044,5.7699,3.2276,tokyo,-0.2947783379552118,-0.2896321413734466,-0.5603459816069876,-0.372904772076215,49.0,74.46188008733708,0.6580548321171505,0.1659161068297245,-0.2922052396643292,-0.5603459816069876,-0.1659161068297245,-0.33172096185242245,-0.5603459816069876,0.5378410268250082,-0.3087600956757055
13112,世田谷区,5.43306,5.7875,3.1373,tokyo,-1.7975333410074776,-0.2685642005238562,-0.5854564553040207,-0.975219533151354,44.0,88.08830214870976,0.4994987861807082,-0.0385640805904145,-1.0330487707656668,-0.5854564553040207,0.0385640805904145,-1.1727508112876657,-0.5854564553040207,0.7046745199705086,-0.717837261386527
13113,渋谷区,6.64832,5.1144,2.1056,tokyo,-0.0539082526829945,-1.0742932338113214,-0.872349874055175,-0.6055562334331467,37.0,22.943831161298963,1.6126339031996804,1.396979269445053,-0.564100743247158,-0.872349874055175,-1.396979269445053,-0.6403856458788081,-0.8723498740551751,-0.46657201823871364,-0.705645527989934
13114,中野区,7.30313,5.9707,2.3986,tokyo,0.885596992355726,-0.0492660889531181,-0.7908729217491866,0.102197093731599,18.0,23.7038090095134,0.7593716264240822,0.2965782772082268,0.4181654517013039,-0.7908729217491866,-0.2965782772082268,0.47471512150554346,-0.7908729217491867,0.43123497084840295,-0.005315413547122914
13115,杉並区,5.69355,5.575,1.5394,tokyo,-1.4237887108397405,-0.5229356454407867,-1.0297978276239483,-1.0353355262553166,23.0,51.746995630225264,0.4444702483667626,-0.1095310731083934,-0.9733621781402636,-1.0297978276239483,0.1095310731083934,-1.104992635773302,-1.0297978276239486,0.7625758326071133,-0.8433485241697426
13116,豊島区,6.94668,6.9758,1.4908,tokyo,0.3741713198796607,1.1538809194516226,-1.043312434729993,0.1828390733683532,34.0,19.788801675097456,1.71814345093903,1.533048581522907,0.7640261196656417,-1.043312434729993,-1.533048581522907,0.86734748352563,-1.043312434729993,-0.5775897111030631,-0.02976713514881528
