ward_jis,ward_name,pct_age65p,pct_single65p,poverty_rate,pct_age65p_z,pct_single65p_z,poverty_rate_z,iso_index,iso_index_pca
13101,千代田区,808.0,808.0,1960.0,-1.4908335041596923,-1.4908335041596923,-1.6192081230733724,-1.5293458898337964,-1.5435363096588561
13102,中央区,1633.0,1633.0,4439.0,-1.2125424323411154,-1.2125424323411154,-1.290009669348682,-1.2357826034433854,-1.2464276217076131
13103,港区,3015.0,3015.0,7745.0,-0.7463627217310871,-0.7463627217310871,-0.8509898678102287,-0.7777508655548295,-0.7861979197882252
13104,新宿区,4298.0,4298.0,11871.0,-0.3135779397392881,-0.3135779397392881,-0.3030782824661093,-0.3104280425573345,-0.312165029700351
13105,文京区,2705.0,2705.0,6780.0,-0.850932700232613,-0.850932700232613,-0.9791369060693356,-0.8893939619836297,-0.8993212330500602
13106,台東区,3135.0,3135.0,8545.0,-0.7058840203756578,-0.7058840203756578,-0.7447539811705546,-0.7175450086141268,-0.723534812260595
13107,墨田区,3084.0,3084.0,9432.0,-0.7230874684517152,-0.7230874684517152,-0.6269649418588159,-0.6942507104738455,-0.695863383598173
13108,江東区,5534.0,5534.0,17421.0,0.1033526842216343,0.1033526842216343,0.4339331810966299,0.2025268332841329,0.21421384435186042
13109,品川区,4674.0,4674.0,12932.0,-0.1867446754922761,-0.1867446754922761,-0.1621829378102415,-0.1793761541876657,-0.17980139016744168
13110,目黒区,3725.0,3725.0,8963.0,-0.5068637387114634,-0.5068637387114634,-0.6892457304013249,-0.5615783362184218,-0.5710190507708335
13111,大田区,8366.0,8366.0,23586.0,1.0586500362097673,1.0586500362097673,1.2526134825136188,1.1168390701009228,1.130336355896702
13112,世田谷区,14417.0,14417.0,32833.0,3.099788552057293,3.099788552057293,2.480567537209952,2.9140222476030906,2.9140429234727643
13113,渋谷区,2723.0,2723.0,6913.0,-0.8448608950292986,-0.8448608950292986,-0.96147518991549,-0.879845183495156,-0.889346426870629
13114,中野区,4530.0,4530.0,11380.0,-0.2353191171187914,-0.2353191171187914,-0.3682805578912093,-0.2752075493505168,-0.2811972199521102
13115,杉並区,8200.0,8200.0,19295.0,1.0026544993347568,1.0026544993347568,0.6827907455500666,0.9066953731993498,0.9027235827812292
13116,豊島区,4622.0,4622.0,11581.0,-0.2042854460796288,-0.2042854460796288,-0.3415887913729912,-0.2454764496676376,-0.25140411039129923
13117,北区,5669.0,5669.0,15607.0,0.1488912232464923,0.1488912232464923,0.1930433081411688,0.1621368487148953,0.16459654059138246
13118,荒川区,2877.0,2877.0,8383.0,-0.7929132282898309,-0.7929132282898309,-0.7662667482150886,-0.7849192842674082,-0.7893082012644993
13119,板橋区,7282.0,7282.0,20694.0,0.6929924339657221,0.6929924339657221,0.8685707523111967,0.7456659294693645,0.756118643895233
13120,練馬区,9208.0,9208.0,23370.0,1.3426755907203634,1.3426755907203634,1.2239297931209068,1.3070518514405265,1.3120341142434742
13121,足立区,8237.0,8237.0,25856.0,1.0151354322526809,1.0151354322526809,1.5540578108536942,1.1768121458329848,1.2014976966427322
13122,葛飾区,5367.0,5367.0,16043.0,0.0470198248353284,0.0470198248353284,0.2509418663597912,0.1081964372926672,0.11529435304443279
13123,江戸川区,6126.0,6126.0,19897.0,0.3030476109084192,0.3030476109084192,0.7627332502464214,0.4409533027098198,0.458264654260876
