ward_jis,ward_name,pct_age65p,pct_single65p,poverty_rate,city,pct_age65p_z,pct_single65p_z,poverty_rate_z,iso_index,station_count,area_km2,station_density,transit_z,neg_transit_z,iri_designed,iri_pca,iri_designed_100,iri_pca_100,iso_index_100,transit_z_100
27102,都島区,8.15029,6.9948,8.1964,osaka,-0.3674285805227331,-0.3372890867238574,-0.0968361067422557,-0.2772089902489271,9.0,9.01477620003152,0.9983608910855192,0.8712661042141366,-0.8712661042141366,-0.3262365537922193,0.1181703397056131,26.49752425616203,63.280129311857266,18.836014716985467,30.888763254451415
27103,福島区,7.0704,5.0714,4.6313,osaka,-1.015152501815725,-1.0351392109092188,-0.6390757174491578,-0.908325479233803,9.0,6.919471942505155,1.3006772879176676,1.3211078963954697,-1.3211078963954697,-0.8385542561303879,0.0055341789650892,5.126977720341536,60.42629198365859,0.0,40.24227428745432
27104,此花区,7.78122,8.0945,25.1048,osaka,-0.5887987827022184,0.0617052886357361,2.4748741492608253,0.525454318288081,0.0,-28.529650730821203,-0.0,-0.6142783690451605,0.6142783690451605,0.4553432116923185,1.567441892899393,59.099924433850745,100.0,42.79193752405008,0.0
27106,西区,8.62759,4.5304,0.7382,osaka,-0.0811414330973982,-1.2314254317599416,-1.2312030149844415,-0.7712451072622741,11.0,7.71999907172038,1.424870637652639,1.5059055441816769,-1.5059055441816769,-0.8002681508384748,-0.4989919108244679,6.7240238327089,47.643226770627564,4.0912382245291585,44.08475150385423
27107,港区,7.65903,8.4453,11.1906,osaka,-0.6620890122096601,0.1889829342446705,0.3585715514941487,-0.1005692591622182,0.0,-11.644596935154224,-0.0,-0.6142783690451605,0.6142783690451605,0.0455795461643564,1.0450894702079074,42.00726212121119,86.7652729589561,24.107923520549203,0.0
27108,大正区,8.00407,9.651,16.6973,osaka,-0.4551321353028135,0.6264363473310232,1.1961219327680812,0.3647146299086058,2.0,13.95685802909352,0.143298727824768,-0.4010522350429448,0.4010522350429448,0.3422082748171103,1.0419553944711883,54.38067420633694,86.68586557976235,37.994574139060134,4.43358761142034
27109,天王寺区,7.99222,5.5115,2.2061,osaka,-0.462239830037761,-0.8754616401210429,-1.0079404067668147,-0.7499165460814616,14.0,7.172609341200966,1.95186986130432,2.290071661963462,-2.290071661963462,-0.8795241981875832,-0.7716265410493323,3.4179794770498537,40.735543841983166,4.727800728133048,60.389831560583005
27111,浪速区,12.63136,8.0719,10.0431,osaka,2.320341684956518,0.0535055315355024,0.1840406958979047,0.9994005422126294,21.0,6.497290049474858,3.2321167502284,4.195057832025349,-4.195057832025349,0.0010112684987836,-2.3793899614452525,40.148164831528234,0.0,56.93712023550419,100.0
27113,西淀川区,7.67512,7.1384,7.6013,osaka,-0.6524381423121665,-0.2851879752374177,-0.1873487970824082,-0.4027362886208144,5.0,21.08556284106627,0.2371290744139868,-0.2614342331317718,0.2614342331317718,-0.2326611538341119,0.7655843540029718,30.40087842543248,79.68351405662895,15.089584254806626,7.336649407767526
27114,東淀川区,10.04014,7.8027,13.9659,osaka,0.7661137734721744,-0.0441659114460402,0.7806852626368558,0.5274013147461144,10.0,19.705046703465985,0.5074842069895256,0.1408497271084867,-0.1408497271084867,0.3154965589676317,0.3548886273310043,53.266435982657335,69.2778078642084,42.85004669181469,15.701295658755638
27115,東成区,8.40205,7.215,0.8162,osaka,-0.2164215571919094,-0.2573958781631749,-1.219339479702083,-0.5295892302363411,6.0,6.722903238792939,0.8924715687381019,0.7137045460692238,-0.7137045460692238,-0.4693779366895712,-0.1344036759267127,20.526601193288087,56.88071770899676,11.303589249342243,27.61260306191089
27116,生野区,8.56388,9.1567,1.0203,osaka,-0.1193550391365103,0.4470938723467123,-1.1882965623799098,-0.2701028226645633,5.0,12.39966388622747,0.4032367365661895,-0.0142687825621642,0.0142687825621642,-0.1535842867891068,0.1577576660967193,33.69944854975096,64.2831445871984,19.048102151772248,12.475933505115327
27117,旭区,8.12076,9.2554,6.7167,osaka,-0.3851408358411281,0.4829043159658734,-0.3218934549128549,-0.1057530760205457,6.0,9.373844735941573,0.6400788757461022,0.3381483984745177,-0.3381483984745177,-0.0906600807225623,0.2676437478608119,36.32423521598844,67.06730377662855,23.953209688257054,19.803705286972402
27118,城東区,8.29436,7.579,9.8979,osaka,-0.281014607487812,-0.1253289938939269,0.1619562686799746,-0.1014176605593105,7.0,12.425065395399654,0.5633773165163163,0.2240177485045573,-0.2240177485045573,-0.1027973088851234,0.4749623366606387,35.817949374058514,72.32008870516843,24.082602519623933,17.430599203339572
27119,阿倍野区,6.85514,7.2998,4.3706,osaka,-1.144266625751987,-0.2266286479817675,-0.6787273026813504,-0.7293134354997302,15.0,8.848813657822703,1.695142488025997,1.9080655818842287,-1.9080655818842287,-0.764679116252343,-0.3478780482065821,8.208565780638368,51.47196506490127,5.342711764219879,52.44682104711126
27120,住吉区,9.49287,8.8721,11.93,osaka,0.4378582378101945,0.3438349842614702,0.4710317821066654,0.4196033250345184,21.0,13.90510391753754,1.5102368255956835,1.6329290181922804,-1.6329290181922804,0.0446903092104072,-0.4394170284149203,41.9701689666725,49.15266230292591,39.63275708504967,46.72593666330158
27121,東住吉区,8.37015,8.7459,3.9647,osaka,-0.2355553514572934,0.2980469600999895,-0.7404633151314727,-0.2269470470923623,7.0,14.434379307548074,0.4849533084072092,0.1073241231256092,-0.1073241231256092,-0.1485683793344618,0.2555604698845606,33.9086794297101,66.76115245267614,20.336109735139917,15.004201453209872
