ward_jis,ward_name,pct_age65p,pct_single65p,poverty_rate,city,pct_age65p_z,pct_single65p_z,poverty_rate_z,iso_index,access_raw,access_z,iso_index_with_access,station_count,area_km2,station_density,transit_z,neg_access_z,neg_transit_z,iri_designed,iri_pca,iri_designed_100,iri_pca_100,iso_index_100,transit_z_100
13101,千代田区,5.30652,5.1339,3.4077,tokyo,-1.9790898134303176,-1.05095091298365,-0.5102640733806786,-1.260000421281426,10,-0.6244300186410524,-1.0726714156891102,68.0,17.4833348533171,3.889418155661442,4.333210858149165,0.6244300186410524,-4.333210858149165,-1.4158801222058446,-1.7849473415626778,0.0,0.0,0.8964252082476202,100.0
13102,中央区,7.3328,4.8124,7.8831,tokyo,0.9281667769043712,-1.4357999461167947,0.7342477093845778,0.1608010397420833,12,-0.1892212177700159,0.217567405073088,42.0,15.486529776629354,2.712034303732912,2.8148097824544736,0.1892212177700159,-2.8148097824544736,-0.3738970351288589,-0.2733959090774119,39.27552144855097,40.16215441980714,48.18802661532794,70.3004007014562
13103,港区,7.01052,5.3923,6.2777,tokyo,0.465767378038931,-0.7416352359646619,0.2878207495482856,0.0501626052906595,20,1.55161398571413,-0.4153215904235794,46.0,27.636009960669725,1.6644949855447673,1.4638613853246676,-1.55161398571413,-1.4638613853246676,-0.4637241202275952,-0.5005283435371737,35.88966456544825,34.127210645832314,44.50540882113527,43.876139872077836
13104,新宿区,7.29263,6.2212,4.1031,tokyo,0.8705318512111085,0.2505929555254286,-0.316888398863326,0.3283241074830743,18,1.1164051848430934,-0.0065974479698537,51.0,27.694227128734383,1.8415390241052985,1.6921844238607535,-1.1164051848430934,-1.6921844238607535,-0.2043849193941079,-0.181380886766653,45.664950240534395,42.607007737772356,53.764058427957934,48.34208952378318
13105,文京区,5.64607,5.0428,1.1411,tokyo,-1.491911844320351,-1.1600014477221556,-1.1405564286596996,-1.286932100642697,9,-0.8420344190765706,-1.034321774919726,19.0,17.15805502645746,1.1073516182750485,0.745347124412368,0.8420344190765706,-0.745347124412368,-0.8765865145429362,-1.0565169382080282,20.32762135731868,19.354508033848862,0.0,29.822155071242882
13106,台東区,7.4656,7.6597,1.1103,tokyo,1.1187049430000973,1.972538007351337,-1.1491212413935716,0.6945070069873684,8,-1.059638819512089,1.0123986528409952,31.0,15.363628443400025,2.0177525194783734,1.919436360846416,1.059638819512089,-1.919436360846416,0.4140168581089952,0.6738762349443994,68.97439986344432,65.33132121635715,65.9525141696708,52.78708865894528
13107,墨田区,6.80022,6.4884,7.3333,tokyo,0.164034122542463,0.570442602969213,0.581360240518256,0.4111545020632259,7,-1.2772432199476071,0.7943274680475081,21.0,20.934679191017324,1.0031202202043157,0.6109261650179209,1.2772432199476071,-0.6109261650179209,0.3998387877210231,0.7989343379845704,68.43998513586561,68.65413427968072,56.52108121568359,27.192909942768257
13108,江東区,7.28346,6.0916,14.3249,tokyo,0.857374961278143,0.0954563001784438,2.5255727311071565,1.1292586938969371,11,-0.4068256182055341,1.2513063793585977,4.0,-53.411154787408094,-0.0748907230319427,-0.7793196525541937,0.4068256182055341,0.7793196525541937,0.9212441521995371,1.618576113515369,88.09334403386121,90.4321425236137,80.42329284804585,0.0
13109,品川区,6.76887,5.5466,3.887,tokyo,0.1190539154106775,-0.5569316409026266,-0.3769811271681864,-0.2325522642569729,13,0.0283831826655023,-0.2410672190566236,40.0,19.051416673985827,2.099581395152565,2.0249661357308453,-0.0283831826655023,-2.0249661357308453,-0.4928680545660767,-0.5280438765878199,34.79114076750716,33.39611869383277,35.09519966153186,54.851228416419524
13110,目黒区,5.58721,5.3538,1.4882,tokyo,-1.5763627212510318,-0.7877213565731411,-1.0440354384023325,-1.1800721269930547,14,0.2459875831010205,-1.2538684019233608,10.0,22.26065322157927,0.4492231158026438,-0.1034015860974619,-0.2459875831010205,0.1034015860974619,-0.8212160066870435,-1.0201407763541932,22.4147047235294,20.321028258153472,3.556851128636593,13.220812375430537
