ward_jis,ward_name,pct_age65p,pct_single65p,poverty_rate,city,pct_age65p_z,pct_single65p_z,poverty_rate_z,iso_index
27102,都島区,8.15029,6.9948,8.1964,osaka,-0.3674285805227331,-0.3372890867238574,-0.09683610674225578,-0.27720899024892715
27103,福島区,7.0704,5.0714,4.6313,osaka,-1.015152501815725,-1.0351392109092188,-0.6390757174491578,-0.908325479233803
27104,此花区,7.78122,8.0945,25.1048,osaka,-0.5887987827022184,0.061705288635736155,2.4748741492608253,0.525454318288081
27106,西区,8.62759,4.5304,0.7382,osaka,-0.0811414330973982,-1.2314254317599416,-1.2312030149844415,-0.7712451072622741
27107,港区,7.65903,8.4453,11.1906,osaka,-0.6620890122096601,0.18898293424467058,0.3585715514941487,-0.10056925916221826
27108,大正区,8.00407,9.651,16.6973,osaka,-0.4551321353028135,0.6264363473310232,1.1961219327680812,0.36471462990860587
27109,天王寺区,7.99222,5.5115,2.2061,osaka,-0.462239830037761,-0.8754616401210429,-1.0079404067668147,-0.7499165460814616
27111,浪速区,12.63136,8.0719,10.0431,osaka,2.320341684956518,0.05350553153550241,0.1840406958979047,0.9994005422126294
27113,西淀川区,7.67512,7.1384,7.6013,osaka,-0.6524381423121665,-0.28518797523741773,-0.18734879708240826,-0.4027362886208144
27114,東淀川区,10.04014,7.8027,13.9659,osaka,0.7661137734721744,-0.04416591144604021,0.7806852626368558,0.5274013147461144
27115,東成区,8.40205,7.215,0.8162,osaka,-0.21642155719190947,-0.2573958781631749,-1.2193394797020827,-0.5295892302363411
27116,生野区,8.56388,9.1567,1.0203,osaka,-0.1193550391365103,0.4470938723467123,-1.1882965623799098,-0.2701028226645633
27117,旭区,8.12076,9.2554,6.7167,osaka,-0.3851408358411281,0.4829043159658734,-0.3218934549128549,-0.10575307602054573
27118,城東区,8.29436,7.579,9.8979,osaka,-0.28101460748781204,-0.12532899389392696,0.1619562686799746,-0.10141766055931054
27119,阿倍野区,6.85514,7.2998,4.3706,osaka,-1.144266625751987,-0.22662864798176752,-0.6787273026813504,-0.7293134354997302
27120,住吉区,9.49287,8.8721,11.93,osaka,0.43785823781019456,0.3438349842614702,0.4710317821066654,0.41960332503451847
27121,東住吉区,8.37015,8.7459,3.9647,osaka,-0.2355553514572934,0.2980469600999895,-0.7404633151314727,-0.22694704709236233
27122,西成区,14.57497,19.1217,5.086,osaka,3.4861295806350334,4.06260623977269,-0.5699173906172518,2.442258487000645
27123,淀川区,9.15283,7.1027,5.2339,osaka,0.2339003882176721,-0.29814068888690176,-0.5474223025626248,-0.1601087421477891
27124,鶴見区,7.02914,5.696,14.5401,osaka,-1.039900475213524,-0.8085211452098444,0.8680191339077609,-0.3981107934760347
27125,住之江区,8.81699,9.3027,19.7553,osaka,0.03246172156918199,0.500065754498663,1.6612333544790308,0.6613744213209809
27126,平野区,9.23015,8.7047,20.1333,osaka,0.2802773466063731,0.2830987303420417,1.7187258716166172,0.7126583192301469
27127,北区,8.85867,5.4105,6.5801,osaka,0.05746161326138359,-0.9121065722946529,-0.3426698513176018,-0.353448281779123
27128,中央区,8.91547,5.4122,1.5737,osaka,0.09153056355209963,-0.911489776406582,-1.1041263005176338,-0.5680725976564249
