ward_jis,ward_name,pct_age65p,pct_single65p,poverty_rate,city,pct_age65p_z,pct_single65p_z,poverty_rate_z,iso_index,station_count,area_km2,station_density,transit_z,demo_component,socio_component,transit_component,demo_component_z,socio_component_z,transit_component_z,iso_final
27102,都島区,8.15029,6.9948,8.1964,osaka,-0.3674285805227331,-0.3372890867238574,-0.0968361067422557,-0.2772089902489271,9.0,9.01477620003152,0.9983608910855192,0.8712661042141366,-0.35235883362329523,-0.0968361067422557,-0.8712661042141366,-0.38315549090898077,-0.09683610674225589,0.0023429098250832324,-0.2275984217547009
27103,福島区,7.0704,5.0714,4.6313,osaka,-1.015152501815725,-1.0351392109092188,-0.6390757174491578,-0.908325479233803,9.0,6.919471942505155,1.3006772879176676,1.3211078963954697,-1.0251458563624718,-0.6390757174491578,-1.3211078963954697,-1.114745045012268,-0.639075717449158,-0.34550633860383856,-0.8402142088750482
27104,此花区,7.78122,8.0945,25.1048,osaka,-0.5887987827022184,0.0617052886357361,2.4748741492608253,0.525454318288081,0.0,-28.529650730821203,-0.0,-0.6142783690451605,-0.26354674703324116,2.4748741492608253,0.6142783690451605,-0.2865811031289283,2.4748741492608253,1.1510701679689483,0.9286710254044639
27106,西区,8.62759,4.5304,0.7382,osaka,-0.0811414330973982,-1.2314254317599416,-1.2312030149844415,-0.7712451072622741,11.0,7.71999907172038,1.424870637652639,1.5059055441816769,-0.6562834324286699,-1.2312030149844415,-1.5059055441816769,-0.7136435268044702,-1.2312030149844417,-0.4884048509500471,-0.8795735003901566
27107,港区,7.65903,8.4453,11.1906,osaka,-0.6620890122096601,0.1889829342446705,0.3585715514941487,-0.1005692591622182,0.0,-11.644596935154224,-0.0,-0.6142783690451605,-0.2365530389824948,0.3585715514941487,0.6142783690451605,-0.25722810705591137,0.35857155149414854,1.1510701679689483,0.14973404927846856
27108,大正区,8.00407,9.651,16.6973,osaka,-0.4551321353028135,0.6264363473310232,1.1961219327680812,0.3647146299086058,2.0,13.95685802909352,0.143298727824768,-0.4010522350429448,0.08565210601410483,1.1961219327680812,0.4010522350429448,0.09313822046053219,1.196121932768081,0.9861887546649196,0.6183884293514114
27109,天王寺区,7.99222,5.5115,2.2061,osaka,-0.462239830037761,-0.8754616401210429,-1.0079404067668147,-0.7499165460814616,14.0,7.172609341200966,1.95186986130432,2.290071661963462,-0.668850735079402,-1.0079404067668147,-2.290071661963462,-0.7273092293697446,-1.007940406766815,-1.0947771343946766,-0.8784794090217625
27111,浪速区,12.63136,8.0719,10.0431,osaka,2.320341684956518,0.0535055315355024,0.1840406958979047,0.9994005422126294,21.0,6.497290049474858,3.2321167502284,4.195057832025349,1.1869236082460102,0.1840406958979047,-4.195057832025349,1.2906623997829372,0.1840406958979045,-2.5678461534163723,0.3933656916761362
27113,西淀川区,7.67512,7.1384,7.6013,osaka,-0.6524381423121665,-0.2851879752374177,-0.1873487970824082,-0.4027362886208144,5.0,21.08556284106627,0.2371290744139868,-0.2614342331317718,-0.46881305877479207,-0.1873487970824082,0.2614342331317718,-0.5097879790107259,-0.1873487970824084,0.8782263157006623,-0.21537149894868335
27114,東淀川区,10.04014,7.8027,13.9659,osaka,0.7661137734721744,-0.0441659114460402,0.7806852626368558,0.5274013147461144,10.0,19.705046703465985,0.5074842069895256,0.1408497271084867,0.3609739310130671,0.7806852626368558,-0.1408497271084867,0.3925235599188123,0.7806852626368556,0.5671521210465202,0.559912768579042
27115,東成区,8.40205,7.215,0.8162,osaka,-0.2164215571919094,-0.2573958781631749,-1.219339479702083,-0.5295892302363411,6.0,6.722903238792939,0.8924715687381019,0.7137045460692238,-0.23690871767754212,-1.219339479702083,-0.7137045460692238,-0.2576148725687988,-1.2193394797020831,0.12418056594020156,-0.5705371704301554
27116,生野区,8.56388,9.1567,1.0203,osaka,-0.1193550391365103,0.4470938723467123,-1.1882965623799098,-0.2701028226645633,5.0,12.39966388622747,0.4032367365661895,-0.0142687825621642,0.163869416605101,-1.1882965623799098,0.0142687825621642,0.1781918339286522,-1.18829656237991,0.6871006406020348,-0.27062771385288575
27117,旭区,8.12076,9.2554,6.7167,osaka,-0.3851408358411281,0.4829043159658734,-0.3218934549128549,-0.1057530760205457,6.0,9.373844735941573,0.6400788757461022,0.3381483984745177,0.04888174006237264,-0.3218934549128549,-0.3381483984745177,0.05315407284526041,-0.3218934549128551,0.414586939812684,-0.042309641693104943
27118,城東区,8.29436,7.579,9.8979,osaka,-0.281014607487812,-0.1253289938939269,0.1619562686799746,-0.1014176605593105,7.0,12.425065395399654,0.5633773165163163,0.2240177485045573,-0.20317180069086943,0.1619562686799746,-0.2240177485045573,-0.22092930162153043,0.1619562686799744,0.5028407692806934,0.013124046104311865
27119,阿倍野区,6.85514,7.2998,4.3706,osaka,-1.144266625751987,-0.2266286479817675,-0.6787273026813504,-0.7293134354997302,15.0,8.848813657822703,1.695142488025997,1.9080655818842287,-0.6854476368668772,-0.6787273026813504,-1.9080655818842287,-0.7453567236997627,-0.6787273026813506,-0.7993832199998236,-0.7271240028553658
27120,住吉区,9.49287,8.8721,11.93,osaka,0.4378582378101945,0.3438349842614702,0.4710317821066654,0.4196033250345184,21.0,13.90510391753754,1.5102368255956835,1.6329290181922804,0.39084661103583235,0.4710317821066654,-1.6329290181922804,0.42500715416048884,0.47103178210666524,-0.5866283169227418,0.3158119557549012
