ward_jis,ward_name,pct_age65p,pct_single65p,poverty_rate,city,pct_age65p_z,pct_single65p_z,poverty_rate_z,iso_index,station_count,area_km2,station_density,transit_z,neg_transit_z,iri_designed,pct_single_household,pct_single_household_z,population_total_2020,population_density,population_density_z,iri_ml_score
13101,千代田区,5.30652,5.1339,3.4077,tokyo,-1.9790898134303176,-1.05095091298365,-0.5102640733806786,-1.260000421281426,68.0,17.4833348533171,3.889418155661442,4.333210858149165,-4.333210858149165,-1.5095446250020024,8.313719124529936,1.1220108684327872,66680,3813.917685580955,-0.9027136245534334,1.7349781252099935e-06
13102,中央区,7.3328,4.8124,7.8831,tokyo,0.9281667769043712,-1.4357999461167947,0.7342477093845778,0.1608010397420833,42.0,15.486529776629354,2.712034303732912,2.8148097824544736,-2.8148097824544736,-0.4022802177943613,10.044654924475871,2.514505594533803,169179,10924.26789217215,0.1298152129863827,0.0002072200000996
13103,港区,7.01052,5.3923,6.2777,tokyo,0.465767378038931,-0.7416352359646619,0.2878207495482856,0.0501626052906595,46.0,27.636009960669725,1.6644949855447673,1.4638613853246676,-1.4638613853246676,-0.2309820223704757,8.758659401440267,1.4799542358568791,260486,9425.600887056831,-0.0878135754263968,0.3733041611422603
13104,新宿区,7.29263,6.2212,4.1031,tokyo,0.8705318512111085,0.2505929555254286,-0.316888398863326,0.3283241074830743,51.0,27.694227128734383,1.8415390241052985,1.6921844238607535,-1.6921844238607535,-0.0369241416676439,4.772971442185372,-1.7264324269645333,349385,12615.806116412348,0.3754517773724599,0.437667253129529
13105,文京区,5.64607,5.0428,1.1411,tokyo,-1.491911844320351,-1.1600014477221556,-1.1405564286596996,-1.286932100642697,19.0,17.15805502645746,1.1073516182750485,0.745347124412368,-0.745347124412368,-1.002891677404422,7.25345152885508,0.2690520034771054,240069,13991.620823561718,0.5752405808727817,0.0005502623421279
13106,台東区,7.4656,7.6597,1.1103,tokyo,1.1187049430000973,1.972538007351337,-1.1491212413935716,0.6945070069873684,31.0,15.363628443400025,2.0177525194783734,1.919436360846416,-1.919436360846416,0.2550710351821819,5.566935676267101,-1.0877079816638051,211444,13762.634313825329,0.5419883263648053,0.3580249542553639
13107,墨田区,6.80022,6.4884,7.3333,tokyo,0.164034122542463,0.570442602969213,0.581360240518256,0.4111545020632259,21.0,20.934679191017324,1.0031202202043157,0.6109261650179209,-0.6109261650179209,0.208252304728882,6.893117870461304,-0.0208274472602874,272085,12996.855481632914,0.4307858251598331,0.5381878014691609
13108,江東区,7.28346,6.0916,14.3249,tokyo,0.857374961278143,0.0954563001784438,2.5255727311071565,1.1292586938969371,4.0,-53.411154787408094,-0.0748907230319427,-0.7793196525541937,0.7793196525541937,0.8602203094687071,8.44569139490593,1.2281792719610347,524310,-9816.48874821947,-2.8820518148497394,0.9186810545543252
13109,品川区,6.76887,5.5466,3.887,tokyo,0.1190539154106775,-0.5569316409026266,-0.3769811271681864,-0.2325522642569729,40.0,19.051416673985827,2.099581395152565,2.0249661357308453,-2.0249661357308453,-0.4886105771662513,7.271517433364077,0.2835855735562552,422488,22176.19861188042,1.7637632758158694,0.0021578500949026
13110,目黒区,5.58721,5.3538,1.4882,tokyo,-1.5763627212510318,-0.7877213565731411,-1.0440354384023325,-1.1800721269930547,10.0,22.26065322157927,0.4492231158026438,-0.1034015860974619,0.1034015860974619,-0.7843178692218905,6.944926418610629,0.0208512389550761,288088,12941.578898535205,0.4227588413361469,0.0064026624590012
