ward_jis,SII,FCFI,sii_z,fcfi_z,sii_fcfi_gap
13101,45.72,35.0,1.410152185805799,1.9393549513240531,-0.5292027655182541
13102,37.54,24.94,-0.18050691988101025,0.5677274146058523,-0.7482343344868625
13103,38.71,16.2,0.04700789107908384,-0.6239251371751696,0.6709330282542535
13104,51.49,4.64,2.5321696723354927,-2.2000697022310747,4.732239374566568
13105,37.82,27.21,-0.1260589309332953,0.8772298508235775,-1.0032887817568727
13106,43.82,15.59,1.0406836893748779,-0.7070953953658359,1.7477790847407138
13107,38.65,15.9,0.03534046487600166,-0.6648285428427103,0.7001690077187119
13108,30.8,29.33,-1.4911477966938578,1.1662805842075321,-2.65742838090139
13109,38.76,22.57,0.05673074624831806,0.2445905098322799,-0.18785976358396184
13110,36.49,22.68,-0.38468687843494,0.25958842524371145,-0.6442753036786515
13111,36.42,19.02,-0.3982988756718687,-0.2394331239002862,-0.15886575177158252
13112,34.32,21.15,-0.8066587927797296,0.05098105633925326,-0.8576398491189829
13113,43.14,10.93,0.908452859073285,-1.3424616300683028,2.2509144891415875
13114,44.29,13.38,1.1320785279656846,-1.0084171504500528,2.1404956784157374
13115,40.62,14.72,0.41842095854385164,-0.825715271801704,1.2441362303455556
13116,46.47,10.32,1.5559950133443208,-1.425631888258969,2.9816269016032897
13117,35.66,22.91,-0.5460862742442384,0.29094770292215943,-0.8370339771663978
13118,33.74,31.51,-0.9194439127428528,1.4635119987249956,-2.3829559114678482
13119,37.47,17.41,-0.194118917117939,-0.4589480676494217,0.2648291505314827
13120,34.38,24.52,-0.7949913665766475,0.5104626466712949,-1.3054540132479424
13121,34.19,21.11,-0.8319382162197405,0.0455272689169146,-0.8774654851366551
13122,31.42,27.49,-1.3705843925953465,0.9154063627799486,-2.285990755375295
13123,32.85,29.32,-1.0925107347552319,1.1649171373519476,-2.257427872107179
