N03_007,station_count,area_km2,station_density,transit_z
13101,68.0,17.4833348533171,3.889418155661442,4.333210858149165
13102,42.0,15.486529776629354,2.712034303732912,2.8148097824544736
13103,46.0,27.636009960669725,1.6644949855447673,1.4638613853246676
13104,51.0,27.694227128734386,1.8415390241052982,1.6921844238607535
13105,19.0,17.15805502645746,1.1073516182750485,0.745347124412368
13106,31.0,15.363628443400025,2.0177525194783734,1.919436360846416
13107,21.0,20.934679191017324,1.0031202202043155,0.6109261650179209
13108,4.0,-53.411154787408094,-0.0748907230319427,-0.7793196525541937
13109,40.0,19.051416673985827,2.099581395152565,2.0249661357308453
13110,10.0,22.26065322157927,0.44922311580264385,-0.10340158609746194
13111,49.0,74.46188008733708,0.6580548321171505,0.16591610682972455
13112,44.0,88.08830214870976,0.49949878618070825,-0.03856408059041451
13113,37.0,22.943831161298963,1.6126339031996804,1.396979269445053
13114,18.0,23.703809009513396,0.7593716264240822,0.2965782772082268
13115,23.0,51.746995630225264,0.4444702483667626,-0.10953107310839343
13116,34.0,19.788801675097456,1.7181434509390299,1.533048581522907
13117,27.0,31.368967882701977,0.8607232504735615,0.4272853654089533
13118,32.0,15.448497306566797,2.071398878802118,1.988620840972293
13119,22.0,49.05519070520193,0.44847445670345887,-0.10436708666863853
13120,27.0,73.15345947462693,0.36908712443551456,-0.20674815000217558
13121,31.0,81.07259709232467,0.38237334329745853,-0.18961371336212265
13122,19.0,53.0733097677368,0.3579953856872532,-0.22105249774662458
13123,0.0,-73.84577762918018,-0.0,-0.6827375954578664
13201,29.0,282.94383484356524,0.10249383951423999,-0.5505574607332497
13202,17.0,37.03164913468173,0.4590667819888899,-0.09070680240266844
13203,7.0,16.68744059838155,0.419477148621515,-0.14176316927309635
13204,6.0,24.94931819898054,0.24048753365313075,-0.3725953005793027
13205,10.0,157.39220093574852,0.06353554966857762,-0.6007996218704064
13206,17.0,44.6695926981661,0.38057208434537465,-0.19193668859740293
13207,7.0,26.352863049062165,0.26562578748911736,-0.3401760079220043
13208,10.0,32.76129152640701,0.30523827157240035,-0.28909017185887564
13209,10.0,108.3886534056701,0.09226057973589395,-0.5637546798303629
13210,3.0,17.172300895272727,0.1746999437230834,-0.45743759491986485
13211,9.0,31.195049758070752,0.2885073134935946,-0.31066708129469794
13212,15.0,41.819891684717525,0.3586809863852788,-0.22016831979932733
13213,13.0,26.077450548054777,0.49851499003109884,-0.039832823260347025
13214,8.0,17.41156240259968,0.4594647978750912,-0.09019350527466577
13215,3.0,12.37818303815428,0.24236190325776055,-0.3701780389366723
13218,4.0,15.456823166437557,0.25878538926973493,-0.34899765771572067
13219,2.0,9.689725693449118,0.20640419174632874,-0.4165505348300436
13220,4.0,20.425037801568088,0.1958380708452304,-0.4301770248790355
13221,1.0,15.57774450766135,0.06419414566134309,-0.5999502702658084
13222,1.0,19.600856822266447,0.05101817788210189,-0.61694252272158
13223,0.0,23.335703139504457,0.0,-0.6827375954578664
13224,7.0,31.872094072195846,0.21962786581088084,-0.3994967584500098
13225,5.0,27.245435278659844,0.18351697995870453,-0.4460667940695922
13227,2.0,15.0710552076865,0.13270470928803746,-0.5115963206708405
13228,5.0,111.73662799596131,0.04474808386181766,-0.6250286855218529
13229,5.0,23.958948506623873,0.20869029367535316,-0.41360228679479777
13303,0.0,-25.599553974598713,-0.0,-0.6827375954578664
13305,0.0,42.72327157720097,0.0,-0.6827375954578664
13307,0.0,160.27692412130062,0.0,-0.6827375954578664
13308,5.0,343.7716215092325,0.014544539709382956,-0.6639803781713906
13361,0.0,-134.71956512859808,-0.0,-0.6827375954578664
13362,0.0,6.082588079947713,0.0,-0.6827375954578664
13363,0.0,-40.51792067871169,-0.0,-0.6827375954578664
13364,0.0,-27.231249969068912,-0.0,-0.6827375954578664
13381,0.0,-80.7517669033188,-0.0,-0.6827375954578664
13382,0.0,-29.84588058443439,-0.0,-0.6827375954578664
13401,0.0,-103.22669999776336,-0.0,-0.6827375954578664
13402,0.0,8.387259622443244,0.0,-0.6827375954578664
13421,0.0,-133.56055156040264,-0.0,-0.6827375954578664
