N03_007,station_count,area_km2,station_density,transit_z
27102,9.0,9.014776200031521,0.9983608910855192,0.8712661042141366
27103,9.0,6.919471942505155,1.3006772879176676,1.3211078963954697
27104,0.0,-28.529650730821203,-0.0,-0.6142783690451605
27106,11.0,7.71999907172038,1.424870637652639,1.5059055441816767
27107,0.0,-11.644596935154224,-0.0,-0.6142783690451605
27108,2.0,13.95685802909352,0.143298727824768,-0.40105223504294485
27109,14.0,7.172609341200966,1.9518698613043202,2.290071661963462
27111,21.0,6.497290049474858,3.2321167502284,4.195057832025349
27113,5.0,21.08556284106627,0.23712907441398687,-0.2614342331317718
27114,10.0,19.705046703465985,0.5074842069895256,0.14084972710848676
27115,6.0,6.722903238792939,0.8924715687381019,0.7137045460692238
27116,5.0,12.39966388622747,0.4032367365661895,-0.014268782562164276
27117,6.0,9.373844735941573,0.6400788757461022,0.3381483984745177
27118,7.0,12.425065395399654,0.5633773165163163,0.22401774850455733
27119,15.0,8.848813657822703,1.695142488025997,1.9080655818842287
27120,21.0,13.905103917537541,1.5102368255956835,1.6329290181922804
27121,7.0,14.434379307548074,0.4849533084072092,0.10732412312560924
27122,21.0,10.913072366390864,1.9242976949987047,2.2490447350907985
27123,14.0,18.95826813269836,0.7384640781535016,0.484543950415554
27124,5.0,12.119129773413121,0.4125708770747692,-0.00037973605707789676
27125,0.0,-26.28539202995678,-0.0,-0.6142783690451605
27126,7.0,22.60939156729831,0.3096058546805229,-0.15358998429755105
27127,28.0,15.329231229204328,1.8265756176119312,2.1036359021992226
27128,37.0,13.154563263072443,2.812712156234528,3.5709907414267588
27141,22.0,34.93293807897079,0.6297781180118868,0.3228210415446919
27142,1.0,26.39969032665622,0.037879232204109714,-0.5579146987986858
27143,3.0,15.494760385994454,0.1936138362430998,-0.3261841869255707
27144,11.0,36.95741378439266,0.2976398744829209,-0.17139516467711294
27145,3.0,59.57186117851092,0.0503593465211756,-0.5393444953633298
27146,6.0,23.06289578974858,0.26015813689220196,-0.22716736952130107
27147,0.0,19.557374460526777,0.0,-0.6142783690451605
27202,7.0,104.66474881363537,0.06688020636694123,-0.5147617294952843
27203,12.0,53.83843932601637,0.22288907609922554,-0.28262311481233765
27204,3.0,32.94089620718285,0.09107220341339231,-0.4787644385052648
27205,17.0,53.71554961847991,0.3164819148411253,-0.1433585206448884
27206,3.0,18.231668315362363,0.16454884699016495,-0.3694324096229677
27207,5.0,156.82867364969354,0.03188192492890965,-0.5668385927098588
27208,0.0,-64.68315452428607,-0.0,-0.6142783690451605
27209,8.0,18.872619583884084,0.4238945189586425,0.016469655548662133
27210,13.0,96.8436412468142,0.1342370013418682,-0.41453593398894656
27211,11.0,113.69402679448585,0.09675090512788047,-0.47031462439238064
27212,15.0,61.753490845860824,0.24290124808394392,-0.25284533429702866
27213,11.0,71.75652867720703,0.15329615580322903,-0.3861762277665956
27214,6.0,58.60396513058289,0.10238215087717431,-0.4619354239698435
27215,4.0,36.67744373535327,0.10905885450638461,-0.45200059953458416
27216,8.0,161.44699184294313,0.04955186782162198,-0.5405460102965642
27217,4.0,24.63339897515004,0.16238116404622704,-0.3726578859471094
27218,3.0,27.107136970438777,0.11067196079289371,-0.44960032409300726
27219,4.0,125.17154058908183,0.031956145791409256,-0.5667281532955434
27220,3.0,71.29777414835542,0.04207704989159468,-0.5516684155948106
27221,10.0,37.45565766692736,0.26698236322332186,-0.21701303374854958
27222,6.0,38.959521018081226,0.15400600015630025,-0.3851199911241198
27223,6.0,18.261444634604644,0.32856108156034164,-0.1253849205955127
27224,4.0,22.074277033105933,0.18120638759769997,-0.3446462650448181
27225,0.0,-16.075354300243983,-0.0,-0.6142783690451605
27226,4.0,13.138436907935287,0.3044502194613501,-0.16126148412729255
27227,28.0,91.55294822411798,0.30583395229891575,-0.1592025125793606
27228,4.0,62.48305889085287,0.06401735239926891,-0.5190216087908364
27229,1.0,27.704912982773504,0.036094681135500586,-0.5605700812369331
27230,6.0,37.96726223168319,0.15803088364356904,-0.37913103114640717
27231,3.0,17.59350943021054,0.170517429276991,-0.36055125801881466
27232,5.0,53.15489762047889,0.09406470944031428,-0.4743116390925639
27301,2.0,25.048444511485787,0.07984527738171183,-0.4954699185245389
27321,3.0,51.18089952475124,0.05861561691679903,-0.527059301736988
27322,0.0,147.43878388929977,0.0,-0.6142783690451605
27341,1.0,5.859447813020889,0.17066454586007163,-0.36033235097941474
27361,1.0,25.512071879824976,0.0391971300767149,-0.5559536885884
27362,1.0,-1.387958711695102,-0.7204825270189116,-1.6863444381888426
27366,0.0,-72.24301654273583,-0.0,-0.6142783690451605
27381,0.0,20.921310162427183,0.0,-0.6142783690451605
27382,0.0,37.170714909351204,0.0,-0.6142783690451605
27383,0.0,55.01132558075693,0.0,-0.6142783690451605
