ward_jis,ward_name,iri_designed,station_count,transit_z,lisa_I,lisa_p,lisa_q,lisa_cluster
13101,千代田区,-1.5095446250020024,68.0,4.333210858149165,0.556980561394144,0.171,3,Not significant
13102,中央区,-0.4022802177943613,42.0,2.8148097824544736,-0.028275046174417683,0.448,2,Not significant
13103,港区,-0.2309820223704757,46.0,1.4638613853246676,0.06742838341480495,0.134,3,Not significant
13104,新宿区,-0.0369241416676439,51.0,1.6921844238607535,-0.09889407553360212,0.019,4,High-Low
13105,文京区,-1.002891677404422,19.0,0.745347124412368,-0.27014989809848006,0.349,2,Not significant
13106,台東区,0.2550710351821819,31.0,1.919436360846416,-0.36679686947256485,0.077,4,Not significant
13107,墨田区,0.208252304728882,21.0,0.6109261650179209,0.33525276166116463,0.013,1,High-High
13108,江東区,0.8602203094687071,4.0,-0.7793196525541937,-0.10339580089635737,0.487,4,Not significant
13109,品川区,-0.4886105771662513,40.0,2.0249661357308453,0.08906003687735363,0.325,3,Not significant
13110,目黒区,-0.7843178692218905,10.0,-0.1034015860974619,0.6521723205484624,0.074,3,Not significant
13111,大田区,-0.2830592321780207,49.0,0.1659161068297245,0.20421444242153944,0.061,3,Not significant
13112,世田谷区,-0.6278310643550754,44.0,-0.0385640805904145,0.606707037898737,0.042,3,Low-High
13113,渋谷区,-0.6660672368513719,37.0,1.396979269445053,0.38418898987093103,0.058,3,Not significant
13114,中野区,0.0064213999195806,18.0,0.2965782772082268,-0.08247612893351247,0.187,4,Not significant
13115,杉並区,-0.6762109936286625,23.0,-0.1095310731083934,0.42893879551218167,0.146,3,Not significant
13116,豊島区,-0.0566067143416137,34.0,1.533048581522907,0.030020948226003586,0.212,1,Not significant
13117,北区,1.1761049542241646,27.0,0.4272853654089533,0.6323958729431223,0.127,1,Not significant
13118,荒川区,0.1624938219979316,32.0,1.988620840972293,0.2702354788172926,0.062,1,Not significant
13119,板橋区,0.6238631473617907,22.0,-0.1043670866686385,0.6568555534541304,0.125,1,Not significant
13120,練馬区,-0.4426554558797502,27.0,-0.2067481500021755,-0.078694127545581,0.367,2,Not significant
13121,足立区,0.6216346701339939,31.0,-0.1896137133621226,1.1262220536342107,0.014,1,High-High
13122,葛飾区,0.3613974183381116,19.0,-0.2210524977466245,0.5234097223413353,0.099,1,Not significant
13123,江戸川区,0.0858474802668265,0.0,-0.6827375954578664,0.3164753506556775,0.047,1,High-High
