ward_jis,ward_name,iri_designed,iri_ml_score,iri_designed_z,iri_ml_z,iri_diff
13101,千代田区,-1.5095446250020024,1.7349781252099935e-06,-2.2469118097244016,-1.0641986335925566,1.182713176131845
13102,中央区,-0.4022802177943613,0.0002072200000996,-0.45158180549803156,-1.0636085770377117,-0.6120267715396801
13103,港区,-0.2309820223704757,0.3733041611422603,-0.17383713321158384,0.007750754159367755,0.1815878873709516
13104,新宿区,-0.0369241416676439,0.437667253129529,0.14081032905172874,0.19257135058173852,0.051761021530009776
13105,文京区,-1.002891677404422,0.0005502623421279,-1.4254194609857944,-1.0626235204114027,0.3627959405743917
13106,台東区,0.2550710351821819,0.3580249542553639,0.6142543399631812,-0.036123957923382494,-0.6503782978865638
13107,墨田区,0.208252304728882,0.5381878014691609,0.5383419643865376,0.4812191939841249,-0.057122770402412704
13108,江東区,0.8602203094687071,0.9186810545543252,1.595449655273877,1.5738172622030715,-0.021632393070805556
13109,品川区,-0.4886105771662513,0.0021578500949026,-0.5915587463687899,-1.0580072827805584,-0.46644853641176853
13110,目黒区,-0.7843178692218905,0.0064026624590012,-1.071021619409974,-1.0458181736403553,0.025203445769618638
13111,大田区,-0.2830592321780207,0.2031309229495024,-0.25827566180084827,-0.48090692847857824,-0.22263126667772998
13112,世田谷区,-0.6278310643550754,0.0304971061325688,-0.8172922895280413,-0.976630238245722,-0.1593379487176807
13113,渋谷区,-0.6660672368513719,0.0009560763550142,-0.8792888165386881,-1.0614582130033459,-0.1821693964646578
13114,中野区,0.0064213999195806,0.4324383856621492,0.2110912401461579,0.17755649697393142,-0.03353474317222649
13115,杉並区,-0.6762109936286625,0.0160914743091222,-0.8957360090785177,-1.0179964526901295,-0.12226044361161181
13116,豊島区,-0.0566067143416137,0.3631871700290812,0.108896801395712,-0.021300496702033458,-0.13019729809774547
13117,北区,1.1761049542241646,0.9918168469371452,2.107628297441241,1.783828937383145,-0.32379936005809595
13118,荒川区,0.1624938219979316,0.7655889804704229,0.4641486854732167,1.1342086671821643,0.6700599817089476
13119,板橋区,0.6238631473617907,0.9474641020083872,1.2122176990381808,1.65646866742713,0.4442509683889493
13120,練馬区,-0.4426554558797502,0.0179031426935045,-0.5170466356602177,-1.0127941912545335,-0.4957475555943158
13121,足立区,0.6216346701339939,0.5861856110063646,1.2086044229274744,0.6190463789706394,-0.589558043956835
13122,葛飾区,0.3613974183381116,0.7075329403425836,0.7866530413737224,0.9674989639803545,0.18084592260663213
13123,江戸川区,0.0858474802668265,0.8259370464036472,0.33987351133386035,1.3074999929146398,0.9676264815807795
