男女別階層,男女,Gender,年齢階層,年齢 (歳) ,Age groups (years old),大正9年 1920,昭和 5年 1930,昭和15年 1940 1),昭和25年 1950,昭和35年 1960,昭和45年 1970,昭和50年 1975,昭和55年 1980,昭和60年 1985,平成 2年 1990,平成7年 1995,平成12年 2000,平成17年 2005,平成22年 2010,平成27年 2015,令和2年 2020
1,女,Female,2,10～14,10--14,170067,227657,351086,265561,430209,310687,361534,396103,407969,313086,266483,235833,227898,240933,241121,250405
1,女,Female,2,15～19,15-19,194872,307613,431575,308298,551811,456861,392183,419335,447540,458772,356517,311475,274522,268904,277599,267947
1,女,Female,2,20～24,20-24,186657,291247,398088,322942,563396,752573,583521,496485,529999,549718,554527,468286,410166,383439,370534,401904
1,女,Female,2,25～29,25-29,154656,246022,354145,298154,515609,607127,622743,467380,426245,460491,498993,537841,472928,461582,427543,456307
1,女,Female,2,30～34,30-34,134628,191646,281125,247083,417644,505562,520719,540960,428088,380312,421342,488665,548543,506082,474637,455395
1,女,Female,2,35～39,35-39,115417,148564,228296,217748,339746,451562,456505,476078,510701,394267,354982,417189,496326,569086,508347,480189
1,女,Female,2,40～44,40-44,98926,126799,177496,179294,274548,377151,423856,433436,463559,490964,380487,353463,424685,512064,569560,510424
1,女,Female,2,45～49,45-49,72276,106848,138160,153593,242353,315471,360726,406663,425599,450850,482377,376702,357696,437902,511490,573434
1,女,Female,2,50～54,50-54,60355,91961,118631,120721,195382,253776,295849,342147,395044,410265,438571,471974,376632,360094,431338,510274
1,女,Female,2,55～59,55-59,48693,65249,98037,92232,161154,217725,237133,278834,328013,375881,396252,425441,465718,373592,353430,423690
1,女,Female,2,60～64,60-64,41530,51105,80997,73543,121772,173525,204775,221404,264496,307968,359595,382009,417060,456249,361152,340905
1,女,Female,2,65～69,65-69,32288,35681,52502,53182,85877,134555,159873,188037,206964,245375,293026,344185,371495,406610,439722,343461
1,女,Female,2,70～74,70-74,20346,24460,33848,36448,61310,93220,117448,141412,170823,186862,227589,275916,330725,356256,385997,413356
1,女,Female,2,75～79,75-79,10914,14039,17743,17898,36476,55488,74802,96847,121390,146780,165151,208360,256325,308057,329813,354349
1,女,Female,2,80～,80 and over,5509,7830,10661,9289,23538,42169,55665,80066,115319,155012,206764,263696,345967,439805,548735,650785
1,女,Female,2,不詳,Unreported,-,-,85,224,-,-,5391,6328,3384,28338,12347,16327,67233,85963,116571,201780
1,女,Female,1,(再掲)0～14 ,(Relisted) 0-14 ,569372,844291,1134763,977462,1096163,1170297,1248992,1166589,1037170,843935,732381,694010,695685,721593,742113,765006
1,女,Female,1,(再掲)15～64,(Relisted) 15-64,1108010,1627054,2306550,2013608,3383415,4111333,4098010,4082722,4219284,4279488,4243643,4233045,4244276,4328994,4285630,4420469
1,女,Female,1,(再掲)65～,(Relisted) 65 and over,69057,82010,114754,116817,207201,325432,407788,506362,614496,734029,892530,1092157,1304512,1510728,1704267,1761951
,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和5年）TOKYO STATISTICAL YEARBOOK ( 2023 )　2  人口・世帯 2  POPULATION AND HOUSEHOLDS,,,,,,,,,,,,,,,,,,,,,
2-2  年齢（5歳階級），男女別人口（大正9～令和2年） 2-2  POPULATION， BY AGE ( FIVE-YEAR GROUPS ) AND GENDER ( 1920-2020 ),,,,,,,,,,,,,,,,,,,,,
各年10月1日現在の「国勢調査」による。,,,,,,,,,,,,,,,,,,,,,
Data are based on the Population Census taken as of October 1 of the year stated.,,,,,,,,,,,,,,,,,,,,,
注 1) 昭和15年の数値は外国人を含まない。,,,,,,,,,,,,,,,,,,,,,
Note: 1) Figures for 1940 exclude foreign nationals.,,,,,,,,,,,,,,,,,,,,,
資料:：総務省「国勢調査報告」 Source: Ministry of Internal Affairs and Communications,,,,,,,,,,,,,,,,,,,,,
男女別階層（0:総数　1:男・女）,,,,,,,,,,,,,,,,,,,,,
年齢階層 (0:総数　1:再掲　2:各年齢）,,,,,,,,,,,,,,,,,,,,,
