道路,Roads,地域,District,,路線,Route,観測地点,Monitoring Site,自動車類 Motor vehicles／総数 Total,自動車類 Motor vehicles／乗用車類 Cars／乗用車 Passenger cars,自動車類 Motor vehicles／乗用車類 Cars／バス Buses,自動車類 Motor vehicles／貨物車類 Trucks／小型貨物車 Small,自動車類 Motor vehicles／貨物車類 Trucks／普通貨物車 Ordinary,歩行者類(人） Pedestrians (Person),自転車類 Bicycles,動力付き二輪車類 Two-wheeled vehicles
一般都道・特例都道,General metropolitan roads & Metropolitan roads subject to special provisions,区部,All ku,2,南田中町旭町線,Minamitanakacho Asahicho Line,練馬区高松5丁目7,Nerima-ku,30429,15890,279,8250,6010,890,1536,1344
一般都道・特例都道,General metropolitan roads & Metropolitan roads subject to special provisions,区部,All ku,3,高輪麻布線,Takanawa Azabu Line,港区南麻布1-6,Minato-ku ,25424,18325,571,4953,1575,6847,3341,1402
一般都道・特例都道,General metropolitan roads & Metropolitan roads subject to special provisions,区部,All ku,4,赤坂杉並線,Akasaka Suginami Line,港区北青山3-6-1,Minato-ku ,22468,…,…,…,…,24921,2168,835
一般都道・特例都道,General metropolitan roads & Metropolitan roads subject to special provisions,区部,All ku,5,日比谷芝浦線,Hibiya Shibaura Line,港区新橋1-1-1,Minato-ku,22466,…,…,…,…,13385,1649,928
一般都道・特例都道,General metropolitan roads & Metropolitan roads subject to special provisions,市郡部,All shi and gun,1,福生青梅線,Fussa Ome Line,羽村市羽西2-3-6,Hamura-shi,19875,…,…,…,…,196,412,373
一般都道・特例都道,General metropolitan roads & Metropolitan roads subject to special provisions,市郡部,All shi and gun,2,小山乞田線,Oyama Kotta Line,多摩市山王下1-18-1,Tama-shi,19684,…,…,…,…,260,838,1047
一般都道・特例都道,General metropolitan roads & Metropolitan roads subject to special provisions,市郡部,All shi and gun,3,小山乞田線,Oyama Kotta Line,多摩市乞田1154-1,Tama-shi,18920,13112,284,3928,1596,808,885,1046
一般都道・特例都道,General metropolitan roads & Metropolitan roads subject to special provisions,市郡部,All shi and gun,4,小山乞田線,Oyama Kotta Line,八王子市別所2-58,Hachioji-shi,18526,…,…,…,…,198,535,748
一般都道・特例都道,General metropolitan roads & Metropolitan roads subject to special provisions,市郡部,All shi and gun,5,小山乞田線,Oyama Kotta Line,町田市小山ヶ丘2-1-2,Machida-shi,17093,…,…,…,…,158,681,774
,,,,,,,,,,,,,,,,
東京都統計年鑑（令和5年）TOKYO STATISTICAL YEARBOOK ( 2023 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,,
4-7  観測地点別交通量（令和3年度） 4-7  TRAFFIC VOLUME BY TRAFFIC MONITORING SITE （ Fiscal Year 2021 ）,,,,,,,,,,,,,,,,
交通量調査は，年間の平均的な交通量を把握するため，原則として交通量の変動の少ない秋季に１回調査する。なお，調査結果は，午前7時から午後7時までの12時間の「平日」交通量である。,,,,,,,,,,,,,,,,
To obtain traffic volume on an annual average， in principle， a survey is conducted once in the autumn season when traffic volume is less variable. Survey results are traffic volumes for the 12 hour period from 7 a.m. to 7 p.m on a weekday.,,,,,,,,,,,,,,,,
注) 各路線区分，上位５地点を記載した。,,,,,,,,,,,,,,,,
Note: Only the top five sites are listed for each category.,,,,,,,,,,,,,,,,
資料：都建設局道路建設部計画課 「交通量調査報告書」 Source: Bureau of Construction， TMG,,,,,,,,,,,,,,,,
