GEOID,NAME,state,county,tract,pct_age65p,pct_alone65p,poverty_rate,pop_total
36047017400,"Census Tract 174, Kings County, New York",36,047,017400,13.92,67.26,4.5,2155
36047017500,"Census Tract 175, Kings County, New York",36,047,017500,,,,0
36047017600,"Census Tract 176, Kings County, New York",36,047,017600,12.51,73.68,14.05,2455
36047017700,"Census Tract 177, Kings County, New York",36,047,017700,,,,0
36047017800,"Census Tract 178, Kings County, New York",36,047,017800,16.44,72.77,12.36,3041
36047017900,"Census Tract 179, Kings County, New York",36,047,017900,19.57,64.62,21.48,4385
36047018000,"Census Tract 180, Kings County, New York",36,047,018000,13.41,69.58,9.93,3424
36047018100,"Census Tract 181, Kings County, New York",36,047,018100,12.44,84.61,4.56,3785
36047018200,"Census Tract 182, Kings County, New York",36,047,018200,16.34,58.88,13.83,3421
36047018300,"Census Tract 183, Kings County, New York",36,047,018300,4.02,92.08,7.75,2663
36047018400,"Census Tract 184, Kings County, New York",36,047,018400,19.8,62.14,7.32,2318
36047018501,"Census Tract 185.01, Kings County, New York",36,047,018501,13.75,71.76,29.73,4130
36047018600,"Census Tract 186, Kings County, New York",36,047,018600,16.98,55.84,11.62,2255
36047018700,"Census Tract 187, Kings County, New York",36,047,018700,14.32,65.89,13.16,1459
36047018800,"Census Tract 188, Kings County, New York",36,047,018800,16.76,73.6,10.6,2905
36047019000,"Census Tract 190, Kings County, New York",36,047,019000,16.07,66.71,12.86,4543
36047019100,"Census Tract 191, Kings County, New York",36,047,019100,3.51,91.59,16.11,2964
36047019200,"Census Tract 192, Kings County, New York",36,047,019200,12.19,72.12,23.65,2716
36047019300,"Census Tract 193, Kings County, New York",36,047,019300,18.27,62.52,19.01,6140
36047019400,"Census Tract 194, Kings County, New York",36,047,019400,19.74,56.95,28.08,3465
36047019500,"Census Tract 195, Kings County, New York",36,047,019500,19.47,71.4,15.22,3128
36047019600,"Census Tract 196, Kings County, New York",36,047,019600,20.01,59.66,25.87,4238
36047019700,"Census Tract 197, Kings County, New York",36,047,019700,9.7,83.5,4.84,3669
36047019800,"Census Tract 198, Kings County, New York",36,047,019800,16.09,64.7,14.61,1877
36047019900,"Census Tract 199, Kings County, New York",36,047,019900,6.29,88.42,8.2,3769
36047020000,"Census Tract 200, Kings County, New York",36,047,020000,19.34,60.58,16.78,2296
36047020100,"Census Tract 201, Kings County, New York",36,047,020100,12.36,81.53,5.75,3940
36047020200,"Census Tract 202, Kings County, New York",36,047,020200,13.96,67.92,10.75,1963
36047020300,"Census Tract 203, Kings County, New York",36,047,020300,8.12,86.72,7.95,1773
36047020400,"Census Tract 204, Kings County, New York",36,047,020400,19.42,60.42,6.96,1710
36047020500,"Census Tract 205, Kings County, New York",36,047,020500,5.69,88.11,6.95,3164
36047020600,"Census Tract 206, Kings County, New York",36,047,020600,16.05,70.02,13.0,2355
36047020700,"Census Tract 207, Kings County, New York",36,047,020700,12.67,80.89,3.65,4490
36047020800,"Census Tract 208, Kings County, New York",36,047,020800,13.87,71.85,5.81,3159
36047021000,"Census Tract 210, Kings County, New York",36,047,021000,11.87,76.27,29.38,3935
36047021100,"Census Tract 211, Kings County, New York",36,047,021100,6.94,88.11,10.59,2795
36047021200,"Census Tract 212, Kings County, New York",36,047,021200,13.29,72.75,19.81,4123
36047021300,"Census Tract 213, Kings County, New York",36,047,021300,10.73,79.69,20.62,4166
36047021400,"Census Tract 214, Kings County, New York",36,047,021400,6.58,80.35,38.41,2128
36047021500,"Census Tract 215, Kings County, New York",36,047,021500,15.07,75.04,12.92,6013
36047021600,"Census Tract 216, Kings County, New York",36,047,021600,10.61,68.16,38.63,3790
36047021700,"Census Tract 217, Kings County, New York",36,047,021700,17.32,69.57,15.91,3407
36047021800,"Census Tract 218, Kings County, New York",36,047,021800,11.35,71.92,23.66,2891
